iter	Passed	Remaining
0	2	228
1	4	210
2	6	207
3	8	199
4	10	197
5	12	201
6	15	202
7	17	200
8	19	201
9	22	202
10	24	201
11	27	200
12	29	197
13	31	196
14	34	195
15	36	193
16	39	191
17	41	188
18	43	186
19	45	183
20	48	180
21	50	178
22	52	175
23	54	173
24	57	171
25	58	167
26	60	163
27	62	160
28	63	156
29	65	153
30	68	151
31	69	147
32	71	144
33	73	142
34	75	140
35	77	137
36	79	134
37	81	132
38	82	129
39	84	126
40	86	124
41	87	120
42	88	117
43	89	114
44	91	112
45	93	110
46	95	107
47	96	104
48	97	101
49	98	98
50	100	96
51	101	93
52	103	91
53	104	89
54	105	86
55	107	84
56	108	81
57	109	79
58	110	76
59	111	74
60	112	72
61	113	69
62	115	67
63	116	65
64	117	63
65	118	61
66	119	59
67	121	57
68	122	54
69	123	52
70	125	51
71	126	49
72	127	47
73	128	45
74	129	43
75	130	41
76	132	39
77	133	37
78	134	35
79	135	33
80	136	32
81	137	30
82	139	28
83	140	26
84	141	24
85	142	23
86	143	21
87	144	19
88	145	17
89	146	16
90	147	14
91	148	12
92	149	11
93	151	9
94	152	8
95	153	6
96	154	4
97	155	3
98	156	1
99	157	0
